brand,location_id,name,line1,city,region,postalCode,countryCode,lat,lng,phone
Starbucks UK,15084,,,,,,,,,
Starbucks UK,1021130,,,,,,,,,
Starbucks UK,1017875,,,,,,,,,
Starbucks UK,6929,,,,,,,,,
Starbucks UK,1005709,,,,,,,,,
Starbucks UK,1015450,,,,,,,,,
Starbucks UK,1009057,,,,,,,,,
Starbucks UK,1018179,,,,,,,,,
Starbucks UK,1024682,,,,,,,,,
Starbucks UK,7061,,,,,,,,,
Starbucks UK,1011094,,,,,,,,,
Starbucks UK,1019143,,,,,,,,,
Starbucks UK,1023558,,,,,,,,,
Starbucks UK,10202,,,,,,,,,
Starbucks UK,10234,,,,,,,,,
Starbucks UK,1008746,,,,,,,,,
Starbucks UK,1018303,,,,,,,,,
Starbucks UK,1040505,,,,,,,,,
Starbucks UK,1020695,,,,,,,,,
Starbucks UK,1005867,,,,,,,,,
Starbucks UK,1009700,,,,,,,,,
Starbucks UK,13532,,,,,,,,,
Starbucks UK,17732,,,,,,,,,
Starbucks UK,7657,,,,,,,,,
Starbucks UK,1025088,,,,,,,,,
Starbucks UK,1005251,,,,,,,,,
Starbucks UK,1011093,,,,,,,,,
Starbucks UK,1033102,,,,,,,,,
Starbucks UK,1008828,,,,,,,,,
Starbucks UK,1038943,,,,,,,,,
Starbucks UK,1008736,,,,,,,,,
Starbucks UK,1031511,,,,,,,,,
Starbucks UK,11233,,,,,,,,,
Starbucks UK,1054854,,,,,,,,,
Starbucks UK,13554,,,,,,,,,
Starbucks UK,1052689,,,,,,,,,
Starbucks UK,13831,,,,,,,,,
Starbucks UK,1020076,,,,,,,,,
Starbucks UK,8346,,,,,,,,,
Starbucks UK,1042940,,,,,,,,,
Starbucks UK,1038413,,,,,,,,,
Starbucks UK,18054,,,,,,,,,
Starbucks UK,10589,,,,,,,,,
Starbucks UK,1013620,,,,,,,,,
Starbucks UK,1025524,,,,,,,,,
Starbucks UK,17914,,,,,,,,,
Starbucks UK,18392,,,,,,,,,
Starbucks UK,15915,,,,,,,,,
Starbucks UK,89855,,,,,,,,,
Starbucks UK,1052427,,,,,,,,,
Starbucks UK,1025856,,,,,,,,,
Starbucks UK,7189,,,,,,,,,
Starbucks UK,9148,,,,,,,,,
Starbucks UK,1030176,,,,,,,,,
Starbucks UK,1023708,,,,,,,,,
Starbucks UK,1039415,,,,,,,,,
Starbucks UK,1007631,,,,,,,,,
Starbucks UK,7491,,,,,,,,,
Starbucks UK,1043768,,,,,,,,,
Starbucks UK,17544,,,,,,,,,
Starbucks UK,1044510,,,,,,,,,
Starbucks UK,14742,,,,,,,,,
Starbucks UK,1028125,,,,,,,,,
Starbucks UK,1023522,,,,,,,,,
Starbucks UK,1005808,,,,,,,,,
Starbucks UK,1031734,,,,,,,,,
Starbucks UK,1056208,,,,,,,,,
Starbucks UK,13895,,,,,,,,,
Starbucks UK,18465,,,,,,,,,
Starbucks UK,17881,,,,,,,,,
Starbucks UK,1044520,,,,,,,,,
Starbucks UK,69677,,,,,,,,,
Starbucks UK,1045134,,,,,,,,,
Starbucks UK,1009148,,,,,,,,,
Starbucks UK,1033293,,,,,,,,,
Starbucks UK,13849,,,,,,,,,
Starbucks UK,11058,,,,,,,,,
Starbucks UK,1018277,,,,,,,,,
Starbucks UK,6551,,,,,,,,,
Starbucks UK,8328,,,,,,,,,
Starbucks UK,1023273,,,,,,,,,
Starbucks UK,1006013,,,,,,,,,
Starbucks UK,14502,,,,,,,,,
Starbucks UK,11701,,,,,,,,,
Starbucks UK,1030440,,,,,,,,,
Starbucks UK,15314,,,,,,,,,
Starbucks UK,1055654,,,,,,,,,
Starbucks UK,1040279,,,,,,,,,
Starbucks UK,12090,,,,,,,,,
Starbucks UK,1024940,,,,,,,,,
Starbucks UK,1029924,,,,,,,,,
Starbucks UK,1019469,,,,,,,,,
Starbucks UK,16005,,,,,,,,,
Starbucks UK,1029576,,,,,,,,,
Starbucks UK,1027971,,,,,,,,,
Starbucks UK,1015914,,,,,,,,,
Starbucks UK,1015924,,,,,,,,,
Starbucks UK,1016616,,,,,,,,,
Starbucks UK,1055667,,,,,,,,,
Starbucks UK,11597,,,,,,,,,
Starbucks UK,10811,,,,,,,,,
Starbucks UK,17566,,,,,,,,,
Starbucks UK,16466,,,,,,,,,
Starbucks UK,1054194,,,,,,,,,
Starbucks UK,16087,,,,,,,,,
Starbucks UK,10555,,,,,,,,,
Starbucks UK,1016108,,,,,,,,,
Starbucks UK,16732,,,,,,,,,
Starbucks UK,1036982,,,,,,,,,
Starbucks UK,1017947,,,,,,,,,
Starbucks UK,1017771,,,,,,,,,
Starbucks UK,1014797,,,,,,,,,
Starbucks UK,17015,,,,,,,,,
Starbucks UK,17542,,,,,,,,,
Starbucks UK,14986,,,,,,,,,
Starbucks UK,69879,,,,,,,,,
Starbucks UK,1006265,,,,,,,,,
Starbucks UK,1019384,,,,,,,,,
Starbucks UK,1017148,,,,,,,,,
Starbucks UK,1009856,,,,,,,,,
Starbucks UK,1018115,,,,,,,,,
Starbucks UK,6870,,,,,,,,,
Starbucks UK,1030180,,,,,,,,,
Starbucks UK,7697,,,,,,,,,
Starbucks UK,63083,,,,,,,,,
Starbucks UK,12605,,,,,,,,,
Starbucks UK,1006970,,,,,,,,,
Starbucks UK,16013,,,,,,,,,
Starbucks UK,1021032,,,,,,,,,
Starbucks UK,13478,,,,,,,,,
Starbucks UK,1025995,,,,,,,,,
Starbucks UK,1052108,,,,,,,,,
Starbucks UK,1020083,,,,,,,,,
Starbucks UK,1043472,,,,,,,,,
Starbucks UK,9188,,,,,,,,,
Starbucks UK,92868,,,,,,,,,
Starbucks UK,17099,,,,,,,,,
Starbucks UK,18013,,,,,,,,,
Starbucks UK,14912,,,,,,,,,
Starbucks UK,1014258,,,,,,,,,
Starbucks UK,1017777,,,,,,,,,
Starbucks UK,1023560,,,,,,,,,
Starbucks UK,1039194,,,,,,,,,
Starbucks UK,11164,,,,,,,,,
Starbucks UK,7665,,,,,,,,,
Starbucks UK,1029920,,,,,,,,,
Starbucks UK,1026622,,,,,,,,,
Starbucks UK,8189,,,,,,,,,
Starbucks UK,1006479,,,,,,,,,
Starbucks UK,91241,,,,,,,,,
Starbucks UK,8037,,,,,,,,,
Starbucks UK,12552,,,,,,,,,
Starbucks UK,11034,,,,,,,,,
Starbucks UK,1040190,,,,,,,,,
Starbucks UK,1016493,,,,,,,,,
Starbucks UK,10596,,,,,,,,,
Starbucks UK,12861,,,,,,,,,
Starbucks UK,6534,,,,,,,,,
Starbucks UK,1026179,,,,,,,,,
Starbucks UK,10595,,,,,,,,,
Starbucks UK,1021101,,,,,,,,,
Starbucks UK,8579,,,,,,,,,
Starbucks UK,1017609,,,,,,,,,
Starbucks UK,1021768,,,,,,,,,
Starbucks UK,1030111,,,,,,,,,
Starbucks UK,1027066,,,,,,,,,
Starbucks UK,14660,,,,,,,,,
Starbucks UK,1014757,,,,,,,,,
Starbucks UK,10591,,,,,,,,,
Starbucks UK,1039061,,,,,,,,,
Starbucks UK,1035875,,,,,,,,,
Starbucks UK,10768,,,,,,,,,
Starbucks UK,1013431,,,,,,,,,
Starbucks UK,1011103,,,,,,,,,
Starbucks UK,1014847,,,,,,,,,
Starbucks UK,1030032,,,,,,,,,
Starbucks UK,14962,,,,,,,,,
Starbucks UK,1006965,,,,,,,,,
Starbucks UK,1052065,,,,,,,,,
Starbucks UK,16217,,,,,,,,,
Starbucks UK,16961,,,,,,,,,
Starbucks UK,1008831,,,,,,,,,
Starbucks UK,17757,,,,,,,,,
Starbucks UK,1037061,,,,,,,,,
Starbucks UK,11693,,,,,,,,,
Starbucks UK,1044906,,,,,,,,,
Starbucks UK,10767,,,,,,,,,
Starbucks UK,1019744,,,,,,,,,
Starbucks UK,1031730,,,,,,,,,
Starbucks UK,16680,,,,,,,,,
Starbucks UK,16757,,,,,,,,,
Starbucks UK,1005610,,,,,,,,,
Starbucks UK,11092,,,,,,,,,
Starbucks UK,1018111,,,,,,,,,
Starbucks UK,1036285,,,,,,,,,
Starbucks UK,1029582,,,,,,,,,
Starbucks UK,12021,,,,,,,,,
Starbucks UK,1020452,,,,,,,,,
Starbucks UK,16727,,,,,,,,,
Starbucks UK,1009978,,,,,,,,,
Starbucks UK,13476,,,,,,,,,
Starbucks UK,10232,,,,,,,,,
Starbucks UK,1019066,,,,,,,,,
Starbucks UK,1015106,,,,,,,,,
Starbucks UK,10479,,,,,,,,,
Starbucks UK,1016353,,,,,,,,,
Starbucks UK,1017715,,,,,,,,,
Starbucks UK,1031564,,,,,,,,,
Starbucks UK,1008730,,,,,,,,,
Starbucks UK,1008889,,,,,,,,,
Starbucks UK,16370,,,,,,,,,
Starbucks UK,1023404,,,,,,,,,
Starbucks UK,13529,,,,,,,,,
Starbucks UK,14808,,,,,,,,,
Starbucks UK,1019187,,,,,,,,,
Starbucks UK,1021171,,,,,,,,,
Starbucks UK,9725,,,,,,,,,
Starbucks UK,10866,,,,,,,,,
Starbucks UK,1034170,,,,,,,,,
Starbucks UK,1037015,,,,,,,,,
Starbucks UK,17018,,,,,,,,,
Starbucks UK,6820,,,,,,,,,
Starbucks UK,8706000,,,,,,,,,
Starbucks UK,1006689,,,,,,,,,
Starbucks UK,1043903,,,,,,,,,
Starbucks UK,8343,,,,,,,,,
Starbucks UK,16367,,,,,,,,,
Starbucks UK,1005923,,,,,,,,,
Starbucks UK,1021532,,,,,,,,,
Starbucks UK,11691,,,,,,,,,
Starbucks UK,7455,,,,,,,,,
Starbucks UK,1024672,,,,,,,,,
Starbucks UK,1040571,,,,,,,,,
Starbucks UK,1006683,,,,,,,,,
Starbucks UK,1009158,,,,,,,,,
Starbucks UK,1038461,,,,,,,,,
Starbucks UK,15307,,,,,,,,,
Starbucks UK,1039614,,,,,,,,,
Starbucks UK,1042849,,,,,,,,,
Starbucks UK,1017217,,,,,,,,,
Starbucks UK,6905,,,,,,,,,
Starbucks UK,1011584,,,,,,,,,
Starbucks UK,13715,,,,,,,,,
Starbucks UK,1009835,,,,,,,,,
Starbucks UK,6966,,,,,,,,,
Starbucks UK,1039404,,,,,,,,,
Starbucks UK,1022939,,,,,,,,,
Starbucks UK,18805,,,,,,,,,
Starbucks UK,9042,,,,,,,,,
Starbucks UK,1053850,,,,,,,,,
Starbucks UK,13570,,,,,,,,,
Starbucks UK,13500,,,,,,,,,
Starbucks UK,13475,,,,,,,,,
Starbucks UK,1037934,,,,,,,,,
Starbucks UK,13569,,,,,,,,,
Starbucks UK,11689,,,,,,,,,
Starbucks UK,8871100,,,,,,,,,
Starbucks UK,1009268,,,,,,,,,
Starbucks UK,12107,,,,,,,,,
Starbucks UK,1037686,,,,,,,,,
Starbucks UK,1033257,,,,,,,,,
Starbucks UK,12537,,,,,,,,,
Starbucks UK,15107,,,,,,,,,
Starbucks UK,14811,,,,,,,,,
Starbucks UK,15310,,,,,,,,,
Starbucks UK,9204,,,,,,,,,
Starbucks UK,1054013,,,,,,,,,
Starbucks UK,10496,,,,,,,,,
Starbucks UK,1051966,,,,,,,,,
Starbucks UK,10253,,,,,,,,,
Starbucks UK,13860,,,,,,,,,
Starbucks UK,16187,,,,,,,,,
Starbucks UK,1039692,,,,,,,,,
Starbucks UK,12267,,,,,,,,,
Starbucks UK,1018072,,,,,,,,,
Starbucks UK,7047,,,,,,,,,
Starbucks UK,20317,,,,,,,,,
Starbucks UK,1006090,,,,,,,,,
Starbucks UK,1016243,,,,,,,,,
Starbucks UK,13674,,,,,,,,,
Starbucks UK,116611,,,,,,,,,
Starbucks UK,17011,,,,,,,,,
Starbucks UK,11807,,,,,,,,,
Starbucks UK,1039165,,,,,,,,,
Starbucks UK,11180,,,,,,,,,
Starbucks UK,1006706,,,,,,,,,
Starbucks UK,1025168,,,,,,,,,
Starbucks UK,18710,,,,,,,,,
Starbucks UK,14415,,,,,,,,,
Starbucks UK,16001,,,,,,,,,
Starbucks UK,9395,,,,,,,,,
Starbucks UK,1017218,,,,,,,,,
Starbucks UK,17706,,,,,,,,,
Starbucks UK,16289,,,,,,,,,
Starbucks UK,1038365,,,,,,,,,
Starbucks UK,14815,,,,,,,,,
Starbucks UK,12488,,,,,,,,,
